,listing_id,number_of_reviews,minimum_nights,accommodates,bedrooms,beds,estimated_revenue
886,2665394,107,20,10,4.0,7.0,1682040.0
696,2248559,144,30,8,4.0,6.0,1464480.0
3610,17209248,111,30,2,0.0,2.0,1332000.0
317,751847,128,30,8,4.0,5.0,1148160.0
62,89475,116,30,8,4.0,6.0,1144920.0
