,listing_id,number_of_reviews,minimum_nights,accommodates,bedrooms,beds,estimated_revenue
7136,31742478,92,1,4,1.0,2.0,920000.0
7272,32208003,79,1,4,1.0,2.0,790000.0
7137,31746889,76,1,4,1.0,2.0,760000.0
7255,32162852,76,1,4,1.0,2.0,760000.0
7925,34569032,74,1,4,1.0,2.0,740000.0
